,Chengyu,Definition
1832,异军突起,"Mao Dun's ""The Competition"": ""Forget it! The boat will go straight to the bridge gate! Wangba went to catch his mother's night market!"""
1833,火烧眉毛,"Song Zenghui's poem ""Climbing the Xiaoxiang Tower again"": ""When things die, there are tears, and sometimes things become sad."""
1834,花甲之年,"Han Yangxiong's ""Drama Qin Meixin"": ""Yilu Jialiang, gold and jade bars."""
1835,中西合璧,"""Song Shu ,  Wang Sengda Biography"": ""The grace of re-creation cannot be arbitrarily attributed."""
1836,焚膏继晷,"The Arabian folk tale ""One Thousand and One Nights""."
1837,落地生根,"""Mencius: The Heart of the Heart"": ""There is nothing to do what you don't do, and you don't want what you don't want, that's all."""
1838,败兴而归,"Tang Zhangqiao's poem ""Sending Weiyang's Old Man"": ""Farewell to the wicker by the river, thousands of mountains and rivers are far away."""
1839,知足常乐,"Tang Yuanzhen's ""Biography of Yingying"": ""The romantic genius is full of spring thoughts, and Xiao Niang is heartbroken and a book on paper."""
1840,卖国求荣,"""Historical Records: Biography of the Marquis of Huaiyin"": ""The wise will have a thousand thoughts, and there will be a loss, and the foolish will have a thousand thoughts, and there will be a gain."""
1841,发奋图强,"Liu Xiang of the Western Han Dynasty, ""Warring States Policy: Qi Ce III"": ""A few people have heard of it, a scholar for a thousand miles is standing shoulder to shoulder; a saint for a hundred generations, if you follow him."""
1842,正襟危坐,"Song Su Shi's poem ""New Embankment in Spring in the Second Rhyme Forest"" poem: ""To report the new year, kill the scenery, even Jiang Mengyu does not know the spring."""
1843,至死不渝,"Qing Dynasty, Huang Zongxi's ""Mother Chen Shen Ruren Epitaph"": ""His words and demeanor can be seen as a disciple of Mr. Hu."""
1844,至死不变,"Qing Cao Xueqin's ""A Dream of Red Mansions"" chapter 35: ""There is a reason for the attack, I know that Baochai is not light-mouthed and ridiculed people, and I remember what Mrs. Wang said in the previous day, so I don't mention it anymore. ."""
1845,养儿防老,"""The History of the Old Five Dynasties: The Biography of Li Maozhen"": ""But the entire army was undisciplined."
1846,承前启后,"Yuan Lu Wengui's ""&lt;Etymology&gt; Postscript"": ""Chunyoujing Dingjian, Wangdi Houguan, singing and dancing, living in a happy life, I don't know the coming of old age."""
1847,按捺不住,"""Records of the Three Kingdoms, Wei Shu, Emperor Wu Ji"": ""Ma Chao Cheng Yi, together with evil."""
1848,鞠躬尽瘁,"Han Sima Xiangru's ""Yu Bashu"": ""Father and brother are not taught first, and children are not careful, honest and shameless, and vulgarity is not long."""
1849,严于律己,"Qing Qiujin's ""Jingwei Stone"" fifth chapter: ""Beautiful rain and European style, sudden illness and chronic illness; deafness and shocking cause heroes and heroines."""
1850,流芳千古,"""Three Kingdoms, Wei Shu, Wang Chang's Biography"": ""If you want to make Ru Cao as the name suggests, he will not dare to violate it."""
1851,精美绝伦,"""Zhuangzi, Shanmu"": ""It is sent and greeted, and those who come do not stop, and those who go do not stop."""
1852,精妙绝伦,"""Han Shu, Wang Jia Biography"": ""Officials or resident officials retire for a few months, send the old and welcome the new, and cross the road."""
1853,坚忍不拔,"""Zhuangzi: Qiwu Lun"", ""I have tasted it for a woman to speak rashly, and the woman also listened to it."""
1854,酣畅淋漓,"Ming Luo Guanzhong's ""Romance of the Three Kingdoms"", Chapter 15: ""(Hua Tuo) Tong Yan Hefa, fluttering with the appearance of being born."""
1855,灰飞烟灭,"Qing, Wu Jingzi's ""School of Foreign Affairs"", the third chapter: ""When people are happy when they are in a good mood, the seven texts are just like flowers."""
1856,政通人和,"Jin Liu Ling's ""Ode to Wine and Virtue"": ""The sky is on the ground, and you can do whatever you want."""
1857,一张一弛,"In the Southern Song Dynasty, Liu Yiqing's ""Shishuo Xinyu, Literature"": ""Xu Mo is destined, and Yuan Youchen reports.' This sentence is rather elegant and profound."""
1858,一波三折,"Ming Xu Zhonglin's ""Fengshen Romance"" Chapter 82: ""Lingya Fairy, Pilu Fairy, and Golden Hoop Fairy are high-spirited; Qixiang chariot rides on the Golden Spirit Virgin, and they are separated from each other."""
1859,千难万险,"Song Zhang Junfang's ""Yunji Seven Signs"" Volume 55: ""It may show the image, rely on objects, make people think, understand the meaning, good and bad, good and evil, know it clearly, avoid misfortune and be fortunate, and what you want is harmony. ."""
1860,碧血丹心,"""New Compilation of History of the Five Dynasties: History of Liang"": ""Li Sian jumped into a fight, and after more than 20 fights, Sian feigned defeat with a spear and retreated. Shan Kechi took advantage of the victory to pursue."""
1861,狂妄自大,"""The Biography of Ren Kui in the Later Han Dynasty"": ""The character of Kui is Zhonghe, he is fond of Huang Lao, and he is quiet and has few desires."""
1862,弊绝风清,"""Warring States Policy Yan Ce II"" records: The clam opened its shell to bask in the sun, the sandpiper pecked it, and the mouth was caught by the clam shell, and the two sides did not give in. The fisherman came and caught them both."
1863,国富民强,"""Song Shu: The Biography of Yu Bing"": ""If you are not stupid or deaf, you will not be an aunt."""
1864,尽心竭力,"""Historical Records: Biography of the Marquis of Huaiyin"": ""Because of the desires of the people, Xixiang asks for orders for the people, and the world will respond. Who dares not to listen!"" ""Han Shu Kuaitong Biography"": ""Xixiang asks for orders for the people."""
1865,追本溯源,"""Han Book of Geography"": ""This is why the five-party miscellaneous houses have impure customs."""
1866,坎坷不平,"""Diamond Sutra: Good Revelation and Revelation"": ""Good men and good women, develop anuttara samyaksambodhi."""
1867,因循苟且,"Han Cai Yong's ""Taiwei Qiao Xuan Stele"": ""Its character is dignified, and it is elegant and simple."
1868,救亡图存,"Yuan Yang Xianzhi's ""Cold Pavilion"" first fold: ""I'm afraid that if I don't have the courage to talk about marriage, it's all about begging for food from gods and ghosts."""
1869,南征北战,"""Huainanzi: Shuo Lin Xun"": ""It is better to go home and make a net when you are envious of fish in the river."" ""Han Shu, Dong Zhongshu Biography"": ""It is better to retreat and make a net when you are envious of fish in Linyuan."""
1870,国破家亡,"Ming Wu Cheng'en's ""Journey to the West"" Chapter 91: ""Looking at the big and small goblins of seven long and eight short, seven fat and eight thin, they are all bull-headed ghosts, each with a gun and a stick."""
1871,吉祥如意,"""Book of Wei Fengji Biography"": ""A gentleman is right in his clothes and looks with respect, why should he be disheveled and then be a virtuous person?"""
1872,东奔西走,"Tang Liu Zongyuan's ""Zhenfu"": ""Only at the beginning of people, they are born in general, and in groups."""
1873,价廉物美,"""Yunji Seven Signs"" volume 49 cites the ""Five Fu Jing"": ""Those who know one, do not know nothing. Those who do not know one, can know nothing."
1874,屏气凝神,"""Book of the Later Han Dynasty: Ding Hong Biography"": ""If the imperial government is responsible and Du Jian is prevented from being cute, then the evil monsters will be eliminated, and the harm will be eliminated."""
1875,千姿百态,"""Book of Songs, Xiaoya, Datian"": ""It's good to be strong, and it's not arrogant."""
1876,贪赃枉法,"Song Xiaoying's ""Luohu Wild Records"" Volume 2: ""Spraying people with blood, first smears their mouths; Baizhang wild foxes, lose their heads and run wild."""
1877,黯淡无光,"""Zuo Zhuan, Xianggong Thirty-one Years"": ""The ancient city is small, and it is between a big country, and there is no time for punishment."""
1878,缺吃少穿,"""Historical Records: The Biography of Guan Yan"": ""I am very high-spirited and very complacent."""
1879,璀璨夺目,"Yuan Guan Hanqing's ""Dou E's Injustice"" 3rd fold: ""Pity I am alone and without relatives, then I will swallow my voice and hold my breath and complain."""
1880,骁勇善战,"Song Su Shi's ""Monument of Faithfulness to the View"": ""The mountain of Tianmu, the water of glutinous rice, and the dance of dragons and phoenixes, are gathered in Lin'an."""
1881,敢作敢为,"Han Yingshao's ""Ten Antis of Customs"": ""Yingchuan, the prefect of Shu County, Liu Shengji Mausoleum, went to the official's home, but swept the door behind closed doors."""
1882,志得意满,"""Zhuangzi, Xu Wugui"" said: ""Ant is fond of mutton, and mutton is also mutton."""
1883,有勇有谋,"""Mencius: The Heart of the Heart"": ""It is like the spring wind and rain in the season."""
1884,灿烂辉煌,"Qing Wu Jingzi's third episode of ""School of Foreign Studies"": ""Fan Jin went to discuss with his husband because he didn't have a fee, and was slapped in the face by Butcher Hu and scolded with a bloody head."""
1885,感天动地,"""Warring States Policy: Qin Ce 1"": ""The fields are fertile, the people are rich, the chariots are multiplied, the fighting is one million, the fields are fertile for thousands of miles, the accumulation is abundant, and the terrain is convenient."
1886,领异标新,"Song Liuyong's ""Pouring the Cup"": ""I have long been sad and sick, so it is worth reviewing the old joys before the Old Testament."""
1887,轻车简从,"""The Analects of Confucius, Xue Er"": ""Have friends come from afar, is it a pleasure?"""
1888,安邦治国,"Tang Liu Zongyuan's ""Answer to Wei Zhongli Lun Shi Dao Shu"": ""Qu Zi Fu said: 'The dogs bark in Yi, and the barking is to blame.' When the servants go to Wenyong and the south of Shu, there are few days of constant rain, and the dogs bark at sunrise."""
1889,循环往复,"Qing, Wu Jianren's ""Pain History"" Chapter 13: ""Look at the way the search looked like two days ago, only the guest apartment where we were staying was already a mess, and the ghost was crying."""
1890,含辛茹苦,"Tang Xu Hun's poem ""Ti Du Jushi"": ""The machine is full of heart and soul, and the spirit is idle and horses."""
1891,不疾不徐,"Guo Moruo's ""Cai Wenji"" Act 2: ""Prime Minister Cao is burly and dignified."""
1892,不矜不伐,"Han Yang Yun's ""Book of Reports to Sun Huizong"": ""When you are happy in life, you must be rich and honorable. It is the day, and you will be happy when you brush your clothes, and your sleeves will be low, and your feet will dance. Sincerely lewd and wasteful, I don't know it's impossible."""
1893,浩浩荡荡,"""The Book of Northern Qi: The Biography of King Langxie"": ""King Langxie was young, with a fat stomach and a full brain, so he took light measures."""
1894,龙争虎斗,"The first scene of Cao Yu's ""Wang Zhaojun"": ""Mrs. Jiang walked down gracefully, and Yingying and Qi Qi respectfully escorted them out."""
1895,漫山遍野,"""Sui Shu Xun Li Zhuan Zhao Gui"": ""Don't be in the office, water and fire will not be handed over to the people, so you don't dare to send them with a pot of wine."""
1896,精疲力竭,"Han Xu Shen's ""Shuowen Jiezi"": ""Bone, eat bones and stay in the throat."" Duan Yucui commented: ""Wei said: 'Bone is the reason for the bite, and it stabs people.' Loyal words are against the ear, like eating bones in the throat, so The minister of the cloud bone scorpion. The ""Han Shu"" and the following are all called bone scorpion, and the word comes from fish, which means that there are more fish bones in the throat."""
1897,绿水青山,"On the volume of Liang Zhongrong's ""Poems"" of the Southern Dynasties: ""The text is warm and beautiful, and the meaning is sad and far away. It is thrilling, and it can be said to be almost a thousand words!"""
1898,艰难险阻,"""Historical Records: The Biography of Lian Lin Xiangru"": ""The death of Xiangru and Huan are the acquaintances of cutting the neck."""
1899,民富国强,"Song Dynasty Yan Shu's ""Huanxisha"" lyrics: ""There is no choice but to fall, and it seems that Yan has returned."""
1900,豁达大度,"""Historical Records: Xiang Yu's Chronicle"": ""Because he ordered the army to say: 'Ferocious like a tiger, very like a sheep, greedy like a wolf, and if you are too strong, you will kill them.'"""
1901,公正无私,"""Xunzi: Chen Dao"": ""It is not sympathetic to the honor and disgrace of the ruler, or the possessions of the state, but steals the respect and honors, and only pays attention to the support of the salary. It is called a traitor of the state."
1902,千叮万嘱,"""Zuo Zhuan, Ai Gong Twenty-five Years"": ""It's too much to break my word, can I lose weight?"""
1903,侠肝义胆,"""Records of the Grand Historian: The Chronicle of Xiang Yu"": ""Zhang Liang said thanks: 'Pei Gong is invincible and cannot quit.'"""
1904,举手投足,"Tang Hanshan's ""Poems"", No. 208: ""I see that I lied to people, like a basket full of water, and I will go home in one breath. How can there be anything in the basket?"""
1905,千山万壑,"Yuan, Anonymous's ""Peach Blossom"" 4th fold: ""This scene is rushing like a ghost."""
1906,七情六欲,"Qing, Li Yu's ""Leisurely Feelings, Bedrooms, Houses"": ""The success of constructing garden pavilions cannot be self-inflicted, like a literati who marks new things."""
1907,奇谈怪论,"Ming Xie Xie's ""Four Joys: Qiaoxi Palace Banquet"": ""In the palace, Mrs. Zheng is the daughter of Zheng Shenzheng. She was elected to the palace a few months ago."
1908,生死存亡,"Ming Luo Guanzhong's ""Romance of the Three Kingdoms"" Chapter 119: ""The public is debauched and immoral, the sages fail, and it is reasonable to kill them."""
1909,三山五岳,"Tang Wangjian's ""Joke in the Palace"" lyrics: ""Hu Die, Hu Die, flying on golden branches and jade leaves."""
1910,志士仁人,"Song Li Fang's ""Taiping Guangji"": ""Zheng You crossed a cemetery, stationed in a horse and chanted, and he would not belong to him for a long time. The people in the burial continued: 'There are hundreds of people under the burial, and I don't know how to sleep forever.'"""
1911,至亲好友,"Tang Li Xianzhong's poem ""In the Mountains"": ""During the bells and evening drums can't be heard, and the moon is lonely and the clouds are long in love."""
1912,不进则退,"Song Zhou Dunyi's ""Zhou Zi Tong Shu Guo"": ""Today people have a past, and they are not happy with the rules of the people. It is like protecting the disease and avoiding medicine. It is better to destroy the body than to have no enlightenment."""
1913,千载一时,"""Song History ,  Li Xianzhong Biography"": ""Entering the city, declaring virtue and Italy, not killing one person, the Central Plains followers follow."""
1914,俯拾即是,"""Zuo Zhuan: Zhaogong Three Years"": ""His hair is short and his heart is very long, and he may be sleeping with me."""
1915,俯拾皆是,"""Yuan Shi - Wenzong Ji 4"": ""Liu Yuanren, the general manager of most of the capital, complained of illness, and he did not pay attention to things for a long time, and when he moved to the same office, he took office. By luck, it was easy to take refuge."""
1916,奉为圭臬,"""Sun Tzu Ji Pian"": ""To attack it is unprepared, and it is unexpected."""
1917,不远千里,"""The Analects of Confucius, Zihan"": ""The master is always good and seductive, enlightening me with writing, inviting me with courtesy, can't stop."""
1918,不以为耻,"Song Chen Shidao's poem ""Su Chai City"": ""It's not for chatting and conforming to customs, and you can only follow the fate of the high and the low."""
1919,互为表里,"Qing Cao Xueqin's ""Dream of Red Mansions"" Chapter 33: ""My son cares about him, but also for the sake of honoring his ancestors."""
1920,矢志不渝,"""Mencius: Wanzhang Xia"": ""(Mencius) said: 'You have a great remonstrance; if you repeat it and don't listen to it, you will change your position.' The king suddenly changed his color."""
1921,矢志不移,"""Liang Shu ,  Shen Yue Biography"": ""At the beginning of the sky and spit fog, and finally lingering and reflecting."""
1922,甘居人后,"Qing Li Baojia's ""Official Realm"" Chapter 28: ""Half of Guangxi's affairs are officials forcing the people to rebel. Seriously speaking, it can't be finished in three days."""
1923,坐收渔利,"""Book of Jin: The Biography of Huan Yi"": ""Then he was reckless with alcohol and sex, tyrannical and ruthless, and much mutilated."""
1924,浪迹天涯,"The eighth chapter of ""Pain History"" by Wu Jianren of Qing Dynasty: ""The three of them chose an inn to live in, and they were busy along the way. At this time, they couldn't help but rest early."""
1925,目无法纪,"Ming Fan benefited from ""The Story of Looking for Relatives"": ""It is made of pure steel, and it takes a long time to make it; cut people without blood, cut iron like mud."""
1926,有所作为,"Tang Hanyu's ""Journey to Study"": ""After a postscript, it is easy to be blamed."""
1927,勇冠三军,"""Shangshu, Tai Xia Xia"": ""The only husband to receive, Hong Wei to be powerful, is the enemy of your life."" ""Mencius ,  Gao Zi Xia"": ""The so-called good ministers today are the so-called thieves of the people in ancient times."""
1928,转祸为福,"Yuan Guan Hanqing's ""Fighting Quails: Female School Captain"" song: ""I invite old friends after tea and dinner, thank the museum Qinlou, and relieve boredom and sorrow."""
1929,一扫而光,"""Book of Jin, Huangfu Mi Biography"": ""If you want to be warm and gentle, you don't want to be observant and clear."""
1930,潸然泪下,"""Han Feizi: Difficult Situation"": ""Don't be a tiger with wings, will fly into the city, choose people and eat them."""
1931,不可偏废,"Tang Hanyu's ""Answer to Chen Shengshu"": ""The technique of speeding up with one step is not for others, but for healing by visiting. It is the so-called borrowing hearing for the deaf, and seeking the Tao for the blind."""
1932,岿然不动,"""Warring States Policy: Qin Policy II"": ""I know that the Qin war is not invincible, and the attack is not invincible, so it is not invincible."""
1933,暮气沉沉,"""Dang Kou Zhi"" Chapter 109: ""That guy will definitely use this method again, again and again, and I am in danger."""
1934,惘然若失,"Song Zhao Rugu's poem ""Farewell to the Ancients"": ""Marrying a dog, chasing a dog, chasing a chicken, chasing a chicken, you can't sleep and turn your thoughts."""
1935,金玉满堂,"The first volume of ""Pinghua of the Former Han Dynasty"": ""The Emperor Gao is overjoyed, even if he prepares to cooperate with the outside world in Japan, he will arrest Chen Xi."""
1936,漫天要价,"Qing Cao Xueqin's ""Dream of Red Mansions"" Chapter 29: ""The jade is very hard. I fell, but the style of the text didn't move."""
1937,旖旎风光,"""Book of Zhou, Wang Yue Biography"": ""The white horse is going to rush, and it is a place to be fought. Today, the city is weak and weak, and it is easy to draw."""
1938,慷慨就义,"Qing Jin Nianyu's ""Ten Diaries of Avoiding Soldiers"": ""The two counties are instructed to quickly issue an Anmin notice and order the store to open as usual."""
1939,急如星火,"Ban Gu of the Eastern Han Dynasty ""Han Shu: Sima Qian Biography"": ""Therefore, ""The Book of Changes"" said: 'The difference is a small millimeter, and the error is a thousand miles.'"""
1940,坚不可摧,"""Zhuangzi, Shanmu"": ""And the friendship of the gentleman is as light as water, and the friendship of the villain is as sweet as the sweet;"
1941,叫苦不迭,"Jin Wu Bo's ""Wu Lu"": ""Liu Bei once sent Zhuge Liang to Beijing, and when he saw Moling Mountain Fu, he sighed and said: 'Zhongshan dragon plate, stone tiger squat, this emperor's residence.'"""
1942,瞬息万变,"Han Chen Chong's ""Qing Pirates Source Shu"": ""I heard that the light is the end of the heavy, and the small is the source of the big. Therefore, the embankment bursts the ant hole, and the air leaks out of the needle. Therefore, the wise person is cautious, and the wise person knows a few."""
1943,俯仰无愧,"Song Ji Gonggong's ""Tang Poetry Chronicle"": ""To the wine, he said: 'If you move sixty sixty sixties with your hand, the cycle will fall like beads.'"""
1944,当断不断,"Jin Chen Shou's ""Three Kingdoms, Wei Zhi, Liu Biao's Biography"": ""Therefore, if you are a general planner, it is better to set up a state to attach Cao Gong, and Cao Gong will definitely pay attention to the general."
1945,连绵不断,"Song Zeng Minxing's ""Douxing Magazine"" Volume 5: ""One day, Chongyuan came and went from outside the window, and Dongpo asked: 'Why?' Chongyuan said: 'Suilai.' .' Gai Chongyuan wrote a sentence when he ascended the branch. Chongyuan said: 'Knock on the rubble, the public will remember it!'"""
1946,蜂拥而上,"""Book of Songs Xiaoya Tianbao"": ""The king is called Buer, and his longevity is boundless."""
1947,恶意中伤,"Ming Luo Guanzhong's ""Romance of the Three Kingdoms"" No. 65: ""I am afraid that Zhang Fei will be lost, and I urge Jin to withdraw his army."""
1948,以身许国,"Ming Feng Menglong's ""Records of the Kingdoms of the Eastern Zhou Dynasty"", the first chapter: ""The sergeants did not receive their rewards, and they scattered hastily. It is precisely: come in good times, and return in defeat."""
1949,以柔克刚,"Pre-Qin Li Er's ""Lao Tzu"": ""There is no misfortune greater than dissatisfaction, and no blame greater than desire, so contentment is often enough."""
1950,疲惫不堪,"Zhang Xiaotian's ""Dead Island Love and Vengeance"": ""Li Yingmin gulped down a mouthful of soup, and wanted to find a step to borrow a donkey: 'Good men don't fight women.'"""
1951,绵绵不绝,"Ming Feng Menglong's ""Yu Shi Ming Yan"": ""Mrs. Meng is hard to argue, but he is entangled in her body, and it is difficult to leave."""
1952,怡然自得,"""Lv's Spring and Autumn Annals Mingli"": ""These are all born from the chaos of the country, and there are no innumerable, and all the bamboos of Jingyue are still incapable of writing."" It is not exhausted; the waves of the East China Sea will be broken, and the evil will never end.”"
1953,相濡以沫,"""Han Book: Di Fang Jin Biography"": ""The day and night change, and the gentleman follows it."""
1954,一门心思,"Song Hongmai's ""Essays of Rongzhai"", Volume 6: ""Su Xun and his Zikai claim to have meritorious service to Liang, and they should not be used again. Quanzhong underestimated him as a man, and regarded him as a Tang Xiaoxiao, betraying the country for profit, and restraining Xun to serve as an official. , scolded Kai and returned to the field."""
1955,秋毫之末,"""Zhuangzi, Foreign Objects"": ""The reason why the speaker cares is that he is proud of it and forgets to speak."""
1956,一席之地,"""People's Daily"" 1959.9.3: ""Working hard and being self-reliant certainly plays an extremely important role in changing the poor and backward face of the backward teams."""
1957,一家之言,"""Historical Records: Biography of the Japanese"": ""Song Zhong and Jia Yi were enlightened, and Liying sat upright."""
1958,门户之见,"Ming Ling Puchu's ""Amazing at the First Time"", Volume 25: ""Sihu went to Xiangyang from then on, and the birds and flowers fell along the way."
1959,栋梁之材,"Ming Feng Menglong's ""Jing Shi Tong Yan: Bai Niangzi Water Town Leifeng Pagoda"": ""I don't want to meet Xu Xuan... I can't help it, and I act like Fan Tiantiao for a while."""
1960,方便之门,"Song Zhoumi's ""Qidong Wild Language: Wang Maipan Hun"": ""The third person in the palace test, ups and downs, arrogant and insulting."""
1961,一寸丹心,"""Anthology of Poetry of Tiandihui, Jintai Kai Folk Song"": ""You have made great contributions to fight back for the territory, and you will never end your legacy."""
1962,失之东隅,"Zhu De's poem ""October Battle Scene"": ""War has always been like a game of chess, and there is no sorrow if one decides to play chess."""
1963,深信不疑,"Lu Xun's Wandering Lonely: ""Master Thirteen came from the Hanshi Mountain Road all the way to the city and asked him if he had any savings, but he didn't say a word."""
1964,他山之石,"Song Ouyang Xiu's ""Preface to Shi Mi's Poetry Collection"": ""If you don't let it go, you will often become old-fashioned from the commoner, full of fun, and upside down."""
1965,谆谆教导,"Western Han Dynasty Sima Qian's ""Historical Records: Chu Family"": ""In the past, I, Duke Wen, the son of Hu Jiji, was fond of Duke Xian, eager to learn and tireless."""
1966,不正之风,"Wu Yunduo's ""Dedicating Everything to the Party: In the Mine"": ""Everyone says that a mouse can count, and a mouse will escape long ago when there is a disaster."""
1967,丹青妙手,"Ming Wu Chengen's ""Journey to the West"" Chapter 6: ""He wandered around because he had nothing to do with management."""
1968,神来之笔,"Ming Gao Lian's ""The Story of the Jade Hairpin Heqing"": ""I hated that Luan was only a phoenix at the time, but I am glad that today's husband and wife are prominent."""
1969,锦绣山河,"Tang Liu Zongyuan's ""Lu Wentong Tomb Table"": ""It is a book, and it is full of buildings, and it is sweaty."""
1970,公平交易,"Song Fan Zhongyan's ""Yueyang Tower"": ""The next year, the government will be harmonious, and the waste will be prosperous."""
1971,一片丹心,"Tang Bai Juyi's ""Official System for Pei Bian"": ""So the prince's guest, Pei Bian, is loyal and respectful, and assists Yu as a matter of principle."
1972,才德兼备,"Scene 5 of ""Cuckoo Mountain"": ""He is fishing with a net, and I will fight him to die."""
1973,步履维艰,"Ming Xu Zhonglin's ""Fengshen Romance"" Chapter 81: ""Eldest brother, you don't need to work with teachers and mobilize people, he will naturally be absolutely perfect, and let others know that my wonderful methods are boundless. - Quietly, let more than 600,000 soldiers of Zhou be naturally Extinct."""
1974,相差无几,"Xiao Yin's ""The Peaches Are Ripe Again"": ""Before the comrade translator asked all the questions, the American actually roared with red ears."""
1975,沧海横流,"Qing, Wu Jianren's ""The Strange Situation I Witnessed in Twenty Years"", Chapter 39: ""When the sun sets on the lamp and squatting, who does not come back and nostalgic? When I return, I am intoxicated, and it is difficult to help."""
1976,机关算尽,"Han Cai Yong's ""Chen Taiqiu Inscription"": ""Yingchuan Chen Jun, peerless and superlative, not in the high position, ashamed of Zang Wen's stealing the position, so people at that time were high in their morality and placed more emphasis on the position of public minister. """
1977,心如铁石,"Yuan Yang Jingxian's ""Journey to the West"" fifth book 4th fold: ""Flaming Mountain is difficult and dangerous."""
1978,学富五车,"""Old Tang Book: Huangfu's Biography"": ""When you are in a relationship, Shuwen is often lonely, and you want to mediate and transport Liuhe."
1979,志在四方,"Han Zhaoye's ""Wuyue Spring and Autumn"": ""The people are prosperous and the country is strong, and the people are safe and peaceful."""
1980,感慨系之,"""Three Kingdoms, Wei Zhi, Guo Jia Biography"": ""Hundreds of actions can be made, and fame can be established."""
1981,甘之如饴,"Qing Cao Xueqin's ""Dream of Red Mansions"" Chapter 74: ""Let's calm down and investigate secretly, so that we can get this reality; even if we can't visit, outsiders can't know."""
1982,字字珠玑,"The second part of Zhou Libo's ""Storm"": ""The poor get up early and get up to the dark."
1983,同声相应,"Qing Cao Xueqin's ""Dream of Red Mansions"" Chapter 100: ""Mom will not be cold or hungry in her whole life."""
1984,举重若轻,"Ming Natural Obsessed Old Man ""Stone Head: Lu Meng's Wife on the Xianjiang River"": ""Besides, in such a barren year, that family doesn't sell men and women to save their lives."""
1985,教学相长,"""Xunzi ,  Li Lun"": ""The song of the Qing Temple, one advocating and three sighs."""
1986,三足鼎立,"Ming Luo Guanzhong's ""Romance of the Three Kingdoms"" No. 98: ""A certain talent is shallow and incompetent."""
1987,寸土不让,"Tang Liu Zongyuan's ""Feudalism"": ""During the reign of King Xuan, with the virtue of Zhongxing and restoring ancient ways, and the might of the Southern Expedition to the Northern Expedition, the death cannot be determined as the heir of the Marquis of Lu."""
1988,刀枪入库,"Song Ouyang Xiu's ""Takigang Qian Table"": ""I know that the young man Xiu's virtue is weak and can be fresh, and his position is stolen in time, but fortunately, the whole festival does not disgrace his predecessors, and it has its own origin."""
1989,品学兼优,"Yuan, Wei Chu ""Qinyuanchun, Leave Farewell to Zhang Zhouqingyun"": ""For many years, I have served in military service, and I have a good relationship. I run from east to west, and the water is sent to the mountains to welcome you. Looking at Shenzhou in the distance, the old people are thousands of miles away."""
1990,炮火连天,"Jiang Zilong's ""Haojingmen"": ""Diners come in all kinds of styles, in terms of costumes, and in terms of skin color, yellow and white."""
1991,百废待兴,"Yuan, Anonymous's ""Chenzhou Rice"" second fold: ""Who would have thought that the two who arrived in Chenzhou would be corrupt and illicit and drink illegally."""
1992,面目可憎,"""Hou Ba Biography in the Later Han Dynasty"": ""Xin refers to the sky and paints the earth, his words are very rigid, sit down and go back to the fields."""
1993,关怀备至,"Li Kai's ""The Direction of 500 Million Peasants"": ""At that time, his father died, and his mother led him to live, and he often lacked food and clothing."""
1994,天下无敌,"""Zhuangzi Xu Wugui"": ""There are horses in the world, if they lose their shirts, if they lose one, if they surpass Yijuechen, they don't know where they are."""
1995,新婚燕尔,"""The Book of the Southern Qi Dynasty: The Biography of Dai Sengjing"": ""The general of his party, Sun Tankuo, was brave and good at fighting. Every time he swayed, he was killed and injured, and hundreds of officers and troops died."""
1996,惺惺相惜,"Song Lu Jiuyuan's ""Book of Association with Liu Bo"": ""When there is no way, the villain is in power, the gentleman is in the wild, the villain is complacent, the gentleman is miserable and miserable, and the worst is in prison."
1997,气象万千,"Qing Chen Kangqi's ""Lang Qian Ji Wen"" Volume 9: ""Li Taibai was sleeping drunk in Chang'an City in a palace robe, she was pure and innocent, and it would be impossible for a second person to decorate this fan behavior through the ages."""
1998,声势浩大,"Ming Ma Menglong's ""Awakening the World Hengyan"" volume 27: ""The Jiao family is born with six or seven points of color, and the female worker pinpoints, but she is also clever; it's just that her heart is a little ruthless."""
1999,是非分明,"Song Shi Daoyuan's ""Jingde Chuan Deng Lu: Zen Master Yirou"": ""When the Buddhas were born, they preached to save people, and they moved the heavens and the earth; when the monks were born, what are the details?"""
2000,安不忘危,"Qing Zheng Guanying's ""Dangerous Words in a Prosperous Age: Shang Warfare"": ""Down to the ingenious and ingenious skills, it also leads the new standard and competes with awl knives."""
2001,民生凋敝,"Western Han Dynasty Liu An's ""Huainanzi Benjing Xun"": ""Five emperors and three kings refer to the same thing in different situations, and return to the same way through different paths."""
2002,目光炯炯,"""Selected Chinese Folk Tales: The Traitor Li Siyi"": ""Being a man is to step on the high and step on the low, and float on the water."""
2003,人心惶惶,"The eighth chapter of ""The Travels of the Old and Can"" by Liu E of Qing Dynasty: ""He asked for a car from the county, and set off to Pingyin lightly."""
2004,忧心如焚,"Ming Zhu Zhiyu's ""Answering the Thirty-Four Questions about Keeping the Covenant"": ""I can't write, although I am rich in five cars, I am as loyal as Bigan, as filial as Birch and Zeng Shen, and I am just gone!"""
2005,信誓旦旦,"""Mencius Teng Wen Gong Shang"": ""The way of man is also: to eat and warm clothes, to live in comfort without teaching, then he is close to a beast."""
2006,心无旁骛,"""Luo Shen Fu"" by Cao Zhi of the Wei Dynasty of the Three Kingdoms: ""The red lips are bright on the outside, the teeth are fresh on the inside, the eyes are good, and the power is supported."""
