,Chengyu,Appearances,Topic,Definition,Explanation,Frequency,Pinyin,English Definition,English Explanation,Example
1569,白纸黑字,5,Hong Kong - Macau politics,清·顾炎武《日知录》卷七：“古之人有至于张空弮、罗雀鼠而民无二志者，非上之信有以结其心乎？此又权于缓急轻重之间而为不得已之计也。”,写人-德才-⒀才能-智谋,2,bái zhǐ hēi zì,"Qing Gu Yanwu's ""Rizhilu"" Volume 7: ""In ancient times, there were people like Zhang Kongbi and Luo Queshu, but the people had no two aspirations. Is it because the trust of the superiors is necessary to tie their hearts? This is also a matter of priority. And as a last resort.”",Writing about people - virtues and talents - (13) talents and wisdom,笔者调研时了解到，在基层单位，有些问题成了清单上的“常客”，要么持续出现，要么隔一段时间再次出现，比如训练场上存在队列化现象、新上任骨干能力偏弱、练兵消极保安全，等等。查找问题很认真，白纸黑字列得很详细，但在整改过程中却成了“烂尾楼”，其中缘由不得不引起重视。
1570,光怪陆离,2,Hong Kong - Macau politics,晋·王羲之《题卫夫人笔陈图后》：“时年五十有三，或恐风烛奄及，聊遗教于子孙耳。”,形容说话或行动坚决果断，毫不犹豫。,2,guāng guài lù lí,"Jin Wang Xizhi's ""After Mrs. Wei's Pen Chen Tu"": ""At the age of fifty or three, I may be afraid of the wind and candles, and I will talk about the legacy and teach it to my descendants.""",Describe speaking or acting firmly and decisively without hesitation.,一些人打着“反思历史”“范式转换”等旗号，以主观代替客观、以臆想代替史实、以枝节代替整体，大做翻案文章。有的妄言刘胡兰年纪太小不可能参加革命，有的质疑邱少云不可能匍匐在烈火中一动不动，有的诋毁雷锋做人太虚伪……种种光怪陆离的奇谈怪论，对社会舆论产生了严重的负面影响。
1571,九霄云外,1,International news,唐·杜荀鹤《赠题兜率寺闲上人院》诗：“百岁有涯头上雪，万般无染耳边风。”,照着本子念条文。形容讲课、发言等死板地按照课文、讲稿，没有发挥，不生动。,1,jiǔ xiāo yún wài,"Tang Du Xunhe's poem ""Giving the title Tushui Temple Xianrenyuan"": ""Snow on the head for a hundred years, and there is no wind in the ears.""","Read the text according to the book. Describe the lecture, speech, etc. rigidly according to the text, lecture notes, no play, not vivid.",然而，一段时间以来，一些美西方政客和别有用心的人士变身“科学家”“医学专家”，各种“土法”“土方”轮番上马，抵触保持社交距离、公共场合戴口罩这种简单易行的防控做法，甚至出现注射消毒剂清除体内病毒之类荒唐提议。种种荒诞无稽的做法把科学与理性这一个根本原则抛到九霄云外，种种荒腔走板的论调干扰了全球抗疫大局。
1572,不可胜数,1,Hong Kong - Macau politics,元·萧德祥《杀狗劝夫》二折：“我衷肠，除告天，奈天高，又不知，只落的捶胸顿足空流泪。”,写人-心绪-_-⒂镇静,1,bù kě shèng shǔ,"Yuan Xiao Dexiang's ""Killing a Dog to Persuade Your Husband"" 2 folds: ""I am sincere, except to tell the sky, Naitian is high, and I don't know, I just beat my chest and burst into tears.""",Writing about people - mind -_- (15) sedation,翻看历史，祖籍广东的他却心甘情愿做洋奴，阻扰香港回归、反对基本法、挑战“一国两制”、敌视祖国的恶劣言行不可胜数，可谓“一以贯之”。
1573,悲天悯人,1,mainland China politics,《后汉书·南匈奴传》：“窜逃入塞者络绎不绝。”,由衰老恢复青春。形容老年人充满了活力。,1,bēi tiān mǐn rén,"""Book of the Later Han Dynasty: The Biography of the Southern Xiongnu"": ""There is an endless stream of people who fled into the fortress.""",Restore youth from aging. Describe the elderly as being full of vitality.,在此次河北疫情初期，很多发烧、咳嗽患者在村卫生室被当做普通感冒治疗，没有引起基层医疗人员的足够重视，导致疫情防控错过最佳“阻击期”，最终形成规模暴发。须明白，病毒只会乘虚而入，从不悲天悯人。在疫苗没有大规模接种之前，不能有丝毫侥幸心理，疫情防控体系中的任何一个漏洞和薄弱环节，都会成为病毒攻击的对象。
1574,前仆后继,21,culture,宋·苏轼《前赤壁赋》：“其声呜呜然，如怨如慕，如泣如诉。”,写人-德才-⒀才能-才学,4,qián pū hòu jì,"Song Su Shi's ""Qian Chibi Fu"": ""Its voice is humming, like resentment and admiration, like weeping and complaining.""",Writing about people - virtue and talent - (13) talent - talent,”在外敌入侵、民族存亡的危急关头，中国共产党吹响了抗击外敌的第一声号角，以自己最富于牺牲精神的爱国主义、不怕流血牺牲的模范行动，支撑起全民族救亡图存的希望，成为夺取抗战胜利的民族先锋。中国人民以铮铮铁骨战强敌、以血肉之躯筑长城、以前仆后继赴国难，义无反顾投身到抗击日本侵略者的洪流，谱写了惊天地、泣鬼神的雄壮史诗。
1575,恣意妄为,12,Hong Kong - Macau politics,唐·牟融《送客之杭》：“西风吹冷透貂裘，行色匆匆不暂留。”,通过不同的途径，到达同一个目的地。比喻采取不同的方法而得到相同的结果。,3,zì yì wàng wéi,"Tang Mourong's ""Hang for Sending Guests Off"": ""The west wind blows cold through the mink fur, and it does not stay in a hurry.""",Through different ways to reach the same destination. The metaphor is to take different methods and get the same result.,这些激进分子无法无天、恣意妄为，公然冲击毁坏立法会大楼、暴力袭击甚至严重咬伤执法警察、冲击中央政府驻港机构并污损国徽等，他们的暴力违法行径，严重践踏香港法治精神，严重破坏公共秩序与安全，公然挑战“一国两制”的底线，对香港的国际形象造成了恶劣影响。
1576,初露头角,1,sports,清·曹雪芹《红楼梦》第六十九回：“日久天长，这些奴才们跟前，怎么说嘴呢？”,比喻学问、技能等达到最高的境界或成就。,1,chū lù tóu jiǎo,"Qing Cao Xueqin's ""Dream of Red Mansions"" Chapter 69: ""As time goes by, how do you talk to these minions in front of them?""","It is a metaphor for reaching the highest level of learning, skill, etc. or achievement.",不久前的国庆阅兵让人们领略了中国军人钢铁洪流、气壮山河的气概，军运会则搭建了又一座舞台。战绩赫赫的八一军事五项队从这里走来，初露头角的空军五项队、海军五项队一展身手，有着光荣历史的八一跳伞队再创佳绩，其他如游泳队、乒乓球队、三大球队伍等，都在本届军运会上留下了属于自己的精彩时刻，改革强军的丰硕成果得到了一次有力展示。
1577,春光明媚,1,None,宋·周密《清平乐·横玉亭秋倚》词：“诗情画意，只在阑杆外，雨露天低生爽气，一片吴山越水。”,写事-对立-⑷正误及其他-正确及其他,1,chūn guāng míng mèi,"Song Zhoumi's ""Qing Ping Le Heng Yu Ting Autumn Recline"": ""Poetic and picturesque, only outside the ridge, the rain and the open air are low and refreshing, a piece of Wushan is over the water.""",Writing things-opposites-(4) right and wrong and others-right and others,None
1578,鸣锣开道,1,None,汉·苏武《诗四首》：“结发为夫妻，恩爱两不疑。”,指长距离不停顿的快速行进。形容进军迅猛，不可阻挡。,1,míng luó kāi dào,"Han Su Wu's ""Four Poems"": ""The marriage is a husband and wife, and there is no doubt about love.""",It refers to the rapid march over a long distance without stopping. Describes the rapid and unstoppable march.,None
1579,安之若素,5,Hong Kong - Macau politics,《淮南子·兵略训》：“何谓隐之天？大寒甚暑，疾风暴雨，大雾冥晦，因此而为变者也。”,写事-情况-⑸军事-作战,2,ān zhī ruò sù,"""Huainanzi: Military Training"": ""What is the hidden sky? It is cold and hot, stormy, foggy and dark, so it is a changer.""",Writing - Situation - (5) Military - Combat,过去半个月里，他们焦急、煎熬、失望，有家回不去的感觉是何等令人难过。一些滞留湖北的台湾学童给民进党当局领导人写信陈情，“我要回家、我要上学”“希望能早点回家完成功课，做好开学准备”“希望能给我们一条回家的路”……言辞切切，足令闻者心酸。一行行稚嫩的笔迹发出的呼喊，民进党诸公听得进去吗，还是根本不想听、懒得理？从台当局防疫机构负责人还安之若素地做着冰冷的官样文章，人们都能找到答案。
1580,大相径庭,1,culture,明·周楫《西湖二集·侠女散财殉节》：“列位看官，你道强中更有强中手，丫环之中，尚有……顶天立地之人,写人-德才-⑻勇敢-奋勇,1,dà xiāng jìng tíng,"Ming Zhou Ji's ""Second Episode of the West Lake: The Heroines Disperse Wealth and Die for the Festival"": ""All the officials, you are strong in the way, and you are in the middle. Among the maids, there are still...",Writing about people - virtue and talent - (8) bravery and courage,在相当意义上说，耐心是成功的“通行证”。在人生的征途上，哪有一帆风顺？总会遭遇挫折，有时还布满荆棘，如果没有耐心，不能坚持到底的话，则很难看到成功的模样。有位年轻人应聘给一位雕塑大师当助理，与其想象大相径庭的是，这位雕塑大师竟是一个整天孤独地埋头于工作室的老人。
1581,呼之欲出,10,financial news,《楚辞·卜居》：“心烦意乱，不知所从。”,指使不上劲或没有能力去做好某件事情、解决某个问题。,3,hū zhī yù chū,"""Chu Ci Buju"": ""I am upset and I don't know what to do.""",The inability or inability to do something well or solve a problem.,“共建轨道上的长三角”，意味着地理意义上紧密整合的都市圈、城市群将接踵而至；“联合提升原始创新能力”“联手营造有利于提升自主创新能力的创新生态”，全国原始创新策源地正呼之欲出；“合力保护重要生态空间”，意味着各方将在保护好长三角可持续发展生命线上凝心聚力、齐头并进；“中心区城乡居民收入差距控制在2.
1582,猝不及防,5,mainland China politics,宋·释惟白《续传灯录》第九卷：“京师都会，好恶万端贵人，达官盈门。”,写人-感情-⑵欣喜-快乐,2,cù bù jí fáng,"The ninth volume of Song Shi Weibai's ""Continued Chuan Denglu"": ""The capital city, likes and dislikes all kinds of noble people, and high officials are prosperous.""",Writing about people - feelings - (2) delighted - happy,突如其来的新型冠状病毒感染的肺炎疫情，让无数人猝不及防。纵然考验前所未有，但只要我们众志成城、团结一心，就一定能打赢这场疫情防控阻击战。
1583,洋洋大观,1,None,元·关汉卿《谢天香》第一折：“必定是峨冠博带一个名士大夫。”,写人-德才-⒀才能-机智,1,yáng yáng dà guān,"Yuan Guan Hanqing's ""Xie Tianxiang"" first fold: ""It must be E Guanbo who brought a famous scholar and doctor.""",Writing about people - virtues and talents - (13) talents - resourcefulness,None
1584,仰人鼻息,3,mainland China politics,《邓析子·无厚篇》：“为君者，藏形匿影，群下无私，掩目塞耳，万民恐震。”,清清楚楚，明确无误；正大光明,2,yǎng rén bí xī,"""Deng Xizi: Wuhou Chapter"": ""A person who is a king hides his form and hides his shadow, is selfless under the group, hides his eyes and shuts his ears, and thousands of people are shocked.""",Clear and unmistakable; righteous,70年前，英雄的中国人民志愿军高举保卫和平、反抗侵略的正义旗帜，同朝鲜人民和军队一道，舍生忘死、浴血奋战，赢得了抗美援朝战争伟大胜利。经此一战，中国人民粉碎了侵略者陈兵国门、进而将新中国扼杀在摇篮之中的图谋，彻底扫除了近代以来任人宰割、仰人鼻息的百年耻辱，奠定了新中国在亚洲和国际事务中的重要地位，人民军队在战争中学习战争，取得了重要军事经验，实现了由单一军种向诸军兵种合成军队转变。
1585,言近旨远,1,None,明·许仲琳《封神演义》第三十四回：“左道旁门乱似麻，只因昏主起波查。”,装着对人热情，不是真心实意。,1,yán jìn zhǐ yuǎn,"Ming Xu Zhonglin's ""Fengshen Romance"" Chapter 34: ""The left side of the road is like a mess, just because the fainted master made a wave of investigation.""",Pretending to be warm to people is not genuine.,None
1586,粗心大意,2,culture,明·施耐庵《水浒全传》第五十五回：“素知将军仗义行仁，扶危济困，不想果然如此义气。”,形容色彩鲜艳，花样繁多。,2,cū xīn dà yì,"Ming Shi Nai'an's ""Water Margin Complete Biography"" fifty-fifth chapter: ""General Su Zhi is righteous and benevolent, helping those in danger and helping the poor, but I don't want to be so loyal.""",Describe the bright colors and fancy patterns.,须知，“马虎失街亭，大意失荆州”，细节决定成败。古往今来，因粗心大意贻误战机、错失机遇的事例不胜枚举。
1587,杂乱无章,1,mainland China politics,宋·范成大《大雪送炭与芥隐》诗：“不是雪中须送炭，聊装风景要诗来。”,写物-景物-_-景色,1,zá luàn wú zhāng,"Song Fan Chengda's poem ""Send Charcoal in Heavy Snow and Mustard Concealment"": ""It's not that charcoal must be sent in the snow, but poetry is required to talk about the scenery.""",Writing objects - scenery -_- scenery,正因为马克思主义在各种思潮交融交锋中最终占据主流，从而使先进青年用马克思主义立场、观点、方法观察分析中国所处历史方位和时代任务，坚定五四运动的正确政治方向，站在革命队伍前头，发挥了积极带头作用和先锋队作用。五四运动使分散而杂乱无章的青年力量形成有序的、方向一致的群体力量，使中国青年运动摆脱了无序的、私利的政治博弈，成为基于民族大义、国家大利的有序政治参与，开辟了中国青年运动新篇章，形成中国特色社会主义青年运动方向。
1588,脱胎换骨,4,sports,战国楚·宋玉《高唐赋》：“感心动耳，回肠伤气。”三国魏·曹丕《大墙上蒿行》：“女娥长歌，声协宫商，感心动耳，荡气回肠。”,写人-感情-⑵欣喜-快乐,2,tuō tāi huàn gǔ,"Song Yu's ""Gao Tang Fu"" in the Warring States Period: ""I am moved by the heart, and the ileum is hurt."" The Three Kingdoms Wei Cao Pi's ""Artemisia Xing on the Great Wall"": ""The female e's long song, the voice of the palace merchants, is heart-warming, and irritable. """,Writing about people - feelings - (2) delighted - happy,这是一个脱胎换骨的过程。
1589,冰清玉洁,1,mainland China politics,《史记·屈原贾生列传》：“博闻强志，明于治乱，娴于辞令。”,写事-事态-⑻名声-坏、小,1,bīng qīng yù jié,"""Records of the Grand Historian: Biography of Qu Yuan and Jia Sheng"": ""Blood-wen and strong will, wise in dealing with chaos, and adept in rhetoric.""","Writing things - state of affairs - (8) fame - bad, small",复杂严峻的形势，最能识别人的立场；艰难困苦的环境，最能磨练人的意志；生死关头的考验，最能淬炼人的精神。共产党人的先锋本色，正体现为在斗争一线的冲锋陷阵、舍我其谁。革命战争年代，因为葆有先锋本色，我们信仰信念信心无比坚定，故有“砍头不要紧，只要主义真”的凛然大义，“明知山有虎，偏向虎山行”的视死如归。和平发展时期，因为葆有先锋本色，我们初心如磐、使命在肩，故有“出淤泥而不染，濯清涟而不妖”的冰清玉洁，“千磨万击还坚劲，任尔东西南北风”的坚强底气。
1590,筋疲力尽,1,culture,南朝宋·刘义庆《世说新语·言语》：“从山阴道上行，山川自相应发，使人应接不暇。”,不管什么都吃。比喻需要急迫，顾不得选择。,1,jīn pí lì jìn,"In the Southern Song Dynasty, Liu Yiqing's ""Shishuo Xinyu ,  Speech"": ""Up from the mountain, the mountains and rivers spontaneously arise, making people overwhelmed.""",Eat whatever you want. The metaphor is that the need is urgent and one cannot afford to choose.,此处无须引用中国人的论述，斯金纳的前辈美国前总统国家安全事务助理布热津斯基在《大棋局》中就说过：“在中国的全盛时期，中国在全球没有可以与之相匹敌的国家，这是指没有其他大国能够向中国的帝国地位挑战，甚至如果中国想进一步扩张的话，也不会有任何其他大国能抵挡中国的扩张。中国的体系是自成体系和自给自足的，它主要建立在得到认同的种族同一性的基础之上，对异族和地理上处于周边的附庸国，中央只比较有限地使用其武力。”在中国居住近30年的明代意大利传教士利玛窦则说：“非常值得注意的是，在这样一个几乎具有无数人口和无限幅员的国家，而各种物产又极为丰富，虽然他们有装备精良的陆军与海军，很容易征服临近的国家，但他们的皇上和人民却从未想过要发动侵略战争。他们很满足于自己已有的东西，没有征服的野心。……西方国家似乎被最高统治权的念头耗得筋疲力尽，但他们连老祖宗传给他们的东西都保不住，而中国人却已经保持了数千年之久。
1591,日理万机,2,culture,《诗经·豳风·鸱号》：“迨天之未阴雨，彻彼桑土，绸缪牖户。”,一千年里也难碰到一次。形容机会极其难得。,2,rì lǐ wàn jī,"""Book of Songs, Binfeng, Ophio"": ""It is not rainy and rainy in the sky, and the soil is swept away, and the households are prepared.""",It is rare to come across once in a thousand years. Describe the extremely rare opportunity.,”“认真”，表现为干事创业丝毫都不马虎，不放过任何细节，并在一件一件的小事和细节中体现出来。周恩来同志夙夜在公，日理万机，却能做到时时处处事事一丝不苟。
1592,贪生怕死,1,mainland China politics,南朝梁·刘勰《文心雕龙·神思》：“若学浅而空迟，才疏而徒速，以斯成器，未之前闻。”明·高明《琵琶记·南浦嘱别》：“你读书思量做状元，我只怕你学疏才浅。”,写物-时间-_-长久,1,tān shēng pà sǐ,"Liang Liu Xie of the Southern Dynasties, ""Wen Xin Diao Long Shen Si"": ""If you learn shallow and empty, you will be sparse and fast, and you will make a tool with it, and you will never hear it before."" If you study and think about being the champion, I'm just afraid that you'll be sparse in learning and talent.""",Writing objects - time - _ - long,军人职业是与战场相连的，一名军人，一旦贪图安逸日子，染上奢靡之风，就会贪生怕死，萎靡不振；一支军队，一旦过不惯“紧日子”，奢靡之风蔓延，就会文恬武嬉，难打胜仗。
1593,孤立无援,4,International news,宋·欧阳修《泷冈阡表》：“吾耳熟焉，故能详也。”,头顶云天，脚踏大地。形容形象高大，气慨豪迈。,2,gū lì wú yuán,"Song Ouyang Xiu's ""Takigang Qian Table"": ""I am familiar with it, so I can detail it.""","Head on the clouds and sky, feet on the earth. Describe the image of tall and imposing.",疫情告急，武汉不是孤岛，湖北并非孤立无援，全国各地组成的医疗队以作战“兵团”的形式从四面八方奔赴武汉，19省区市驰援湖北16市，打响了疫情歼灭战。
1594,路人皆知,5,Hong Kong - Macau politics,《易·鼎》：“耳目聪明。”,写人-德才-⑵志气-有志,2,lù rén jiē zhī,"""Easy Ding"": ""Clever ears and eyes.""",Writing about people - virtues and talents - (2) ambition - having ambition,用“强制技术转让”抹黑中国，对中国高科技企业不断设限，在高科技领域大搞贸易“不自由”……司马昭之心，路人皆知。不就是想遏制中国科技发展进步吗？
1595,相亲相爱,2,mainland China politics,《资志通鉴·后唐纪·庄宗同光三年》：“且群臣或从陛下岁久，身经百战，所得不过一州。”,指各式各样，种类很多。,2,xiāng qīn xiāng ài,"""Zizhi Tongjian, Later Tang Dynasty, Zhuangzong Tongguang Three Years"": ""And the ministers may have been under His Majesty for a long time, and they have gone through hundreds of battles, but they can't get one state.""",Refers to a wide variety and variety.,“积善之家，必有余庆”。家风中既有传统文化的延续传承，也有现代生活的生成聚合。家庭美德建设，不仅需注重发扬光大中华民族传统家庭美德，也要紧密结合培育和弘扬社会主义核心价值观。《新时代公民道德建设实施纲要》明确提出：要弘扬中华民族传统家庭美德，倡导现代家庭文明观念，推动形成爱国爱家、相亲相爱、向上向善、共建共享的社会主义家庭文明新风尚，让美德在家庭中生根、在亲情中升华。
1596,愤愤不平,1,culture,《三国志·魏书·邓艾传》“子忠与艾俱死”裴松之注引《世语》：“师纂亦与艾俱死……死之日体无完皮。”,不知听从哪一个好。指不知怎么办才好。,1,fèn fèn bù píng,"""The Chronicles of the Three Kingdoms, Wei Shu, Deng Ai's Biography"" ""Zizhong and Ai both died."" Pei Songzhi's annotation quoted ""Shiyu"": ""Shi Zuan also died with Ai...the day of death is not complete.""",I don't know which one to listen to. I don't know what to do.,在小事、细节上谨慎，防微杜渐，勿以恶小而为之。有这么一个故事：一个偷针的人和一个偷牛的人被捆在一起游街。偷针的人感到愤愤不平，为什么把我与偷牛的人一样对待？
1597,井然有序,8,culture,《孔子家语·观周》：“吾闻老聃博古知今。”,甲：铠甲。形容全军被消灭,3,jǐng rán yǒu xù,"""Confucius's Family Language: Viewing Zhou"": ""I heard that Lao Dan has learned from the past and the present.""",Armor: Armor. Describe the whole army was wiped out,事实表明，各层级疫情防控井然有序，景区和餐饮管理凸显精细化，公众安全卫生意识明显提升，门票预约秒罄，内需活力迅速激活，“进”的态势很健康。
1598,席不暇暖,1,None,《论语·述而》：“默而识之，学而不厌，诲人不倦，何有于我哉？”,指情况严重或事情重要，不能轻视。,1,xí bù xiá nuǎn,"""The Analects of Confucius: Shuer"": ""I know it silently, I don't get tired of learning, and I don't get tired of teaching others, why is it for me?""",It means the situation is serious or the matter is important and should not be taken lightly.,None
1599,不可理喻,3,None,南朝宋·刘义庆《世说新语·容止》：“珠玉在侧，觉我形秽。”,写事-事态-⑷程度-完全,2,bù kě lǐ yù,"Southern Song Dynasty, Liu Yiqing's ""New Words of the World: Rongzhi"": ""The pearl and jade are on the side, and I feel that my shape is filthy.""",Writing - State of affairs - (4) Degree - completely,None
1600,不可逾越,16,mainland China politics,清·梁启超《关税权问题》：“今者外人之以排外相诬者，既振振有词，其乌可更为无谋之举，以授之口实也。”,指在无路可走的时候采取冒险行动。,3,bù kě yú yuè,"Qing Liang Qichao's ""The Question of Tariff Rights"": ""Today, those outsiders who use xenophobia to slander each other are plausible, but they are even more inconsiderate, and they are justified.""",Refers to taking risky actions when there is no way out.,推动宣传思想工作不断强起来，“创新”是关键。今天，面对国内国际新形势、意识形态领域新态势、信息化发展新趋势，做好宣传思想工作，比以往任何时候都更加需要创新。有些做法过去有效，现在未必有效；有些过去不合时宜，现在却势在必行；有些过去不可逾越，现在则需要突破。
1601,儿女情长,1,mainland China politics,唐·田颖《揽云台记》：“即有友人，不过十余知音之侣，来则促膝谈心，率皆圣贤之道，不敢稍涉异言。”,说话啰嗦，一说起来没个完,1,ér nǚ qíng cháng,"Tang Tianying's ""Lan Yuntai Ji"": ""There are friends, but more than a dozen bosom friends, come here to talk to each other, lead the way of all sages, and dare not make any dissent.""",Long-winded and endlessly talkative,黄旭华的履历又“很不简单”，放下儿女情长，隐姓埋名专注科研30年，做出常人难以做出的抉择，付出常人难以想象的辛苦。
1602,孤陋寡闻,3,culture,唐·韩愈《进学解》：“业精于勤，荒于嬉；行成于思，毁于随。”,旧指大规模出兵。现多指动用很多人力做某件事（含贬义）。,2,gū lòu guǎ wén,"Tang Hanyu's ""Journey to Learning"": ""Devotion is accomplished by diligence, and waste is by play; action is accomplished by thinking, but destroyed by following.""",The old term refers to a large-scale military deployment. Now it mostly refers to the use of a lot of manpower to do something (with a derogatory meaning).,所以，应维护各民族文化的多样性，认识到各种文明存在的价值，使各有千秋的文化相互借鉴而不是相互对立。要摒弃唯我独尊、自我封闭的文化心理，摒弃试图同化和取代其他文化的意识，不要陷入独学无友、孤陋寡闻的文化境地。
1603,变本加厉,21,Hong Kong - Macau politics,明·冯梦龙《东周列国志》第十七回：“蔡哀侯始知中了息侯之计，恨之入骨。”,写人-经历-⑶境况-富豪,4,biàn běn jiā lì,"Ming Feng Menglong's ""Records of the Kingdoms of the Eastern Zhou Dynasty"" Chapter 17: ""Cai Aihou Shizhi was caught in the plan of Xihou, and he hated it to the bone.""",Writing about people - Experiences - (3) Situations - Wealthy,在台湾问题上，近来他们的危险行动更是变本加厉。从签署所谓“台湾保证法”，到与台湾方面通过视频形式进行所谓“政治军事对话”，从宣布派美驻联合国代表访台，到宣布取消美台官方往来限制，这些政客在台湾问题上如此不择手段，无非是想转移矛盾，最后捞点“翻本筹码”，根本不考虑中美两国关系与两国人民的长远利益。
1604,高高在上,13,International news,《孟子·尽心下》“斯可谓之乡愿矣”宋·朱熹集注：“过门不入而不恨之，以其不见亲就为幸，深恶而痛绝之也。”,写人-经历-⑶境况-逆境,3,gāo gāo zài shàng,"""Mencius: Under the Heart"", ""Si can be described as a hometown."" Song Zhu Xi's commentary: ""If you don't go through the door, you don't hate it. If you don't see your relatives, it's a blessing, and you hate it deeply.""",Writing about people - Experiences - (3) Situations - Adversity,关键是要跟基层面对面、与群众心贴心，涵养担当尽责的工作作风。在密切联系群众的问题上，距离不可能产生美。时至今日，眼里看不到基层、心里装不下群众者并不鲜见。有人热衷“坐着车子转、隔着玻璃看”，轮下生风，脚下生锈，点到为止；有人留恋冬暖夏凉的办公室，习惯“开会了解”“电话解决”，远程指挥；有人享受前簇后拥的排场，摆摆架子、打打官腔，高高在上。群众心中有杆秤，干部的表现，决定着心与心的距离。
1605,刻骨铭心,29,sports,清·孔尚任《桃花扇·孤吟》：“鸡皮瘦损，看饱经霜雪，丝鬓如银。”,人马被打得仰翻在地。形容被打得惨败。也比喻乱得一塌糊涂，不可收拾。,4,kè gǔ míng xīn,"Qing ,  Kong Shangren's ""Peach Blossom Fan ,  Solitary Song"": ""The skin of the chicken is thin and thin, after seeing the frost and snow, the silk temples are like silver.""",The people and horses were beaten and tumbled to the ground. Describe being beaten badly. It also refers to a messy and unmanageable situation.,中华民族是热爱和平的民族，血液里没有侵略他人、称霸世界的基因。2000多年前，张骞带着一支和平使团从长安出发，打通了东方通往西方的道路，完成“凿空之旅”，带给世界的是“使者相望于道，商旅不绝于途”，而不是侵略扩张；600多年前，郑和下西洋时，率领的是当时世界最庞大的舰队，带去的是丝绸、茶叶和瓷器，而不是战争。“己所不欲，勿施于人”，近代以来，中华民族饱受列强欺凌，对战争和动荡带来的苦难刻骨铭心，因此绝不会将自己曾经遭受的苦难强加给其他国家与民族。
1606,天长地久,1,None,明·朱柏庐《治家格言》：“一粥一饭，当思来处不易；半丝半缕，恒念物力维艰。”,写事-情况-⑸军事-作战,1,tiān cháng dì jiǔ,"Ming Zhu Bolu's ""Motto of Governing the Family"": ""One porridge and one meal, it is not easy to think about where it comes from;",Writing - Situation - (5) Military - Combat,None
1607,绵延不断,10,culture,晋·陶潜《和刘柴桑》诗：“弱女虽非男，慰情聊胜无。”,写事-事态-⑴行为-不当,3,mián yán bù duàn,"Jin Tao Qian's poem ""And Liu Chaisang"": ""Although weak women are not men, consolation is better than nothing.""",Writing - state of affairs - (1) act - misconduct,大量出土的玉琮、玉璧、玉玦等文物，折射出先民的精神追求，以鸟、蝉、鱼等为原型的玉雕动物佩饰，彰显着古代中国人与自然和谐共处的发展观念；二里头、殷墟等夏商时代遗址中，源自良渚文化的玉琮、玉璧成为中华文明在多元交融中不断演进的实证，印证了中华文明逐渐积累、不曾中断的发展特点。良渚古城遗址不仅真实、完整地保留了人类文化遗产，更是中华文明多元一体、兼容并蓄、绵延不断等特质的有力见证。
1608,小心谨慎,2,mainland China politics,唐·韩愈《祭十二郎文》：“吾年未四十，而视茫茫，白发苍苍，而齿牙摇动。”,把没有的说成有。指凭空捏造。,2,xiǎo xīn jǐn shèn,"Tang Hanyu's ""Sacrifice of Twelve Lang"": ""I am not forty years old, but my vision is vast, my hair is gray, and my teeth are shaking.""",To say something that is not there is there. Refers to fabrication out of thin air.,面对新冠病毒，我们尤其需要这种素养与智慧。越是接近胜利，越是小心谨慎、稳扎稳打、步步为营。
1609,指挥若定,4,mainland China politics,宋·黄庭坚《蓦山溪·赠衡阳陈湘》：“眉黛敛秋波，尽湖南，山明水秀。”,写人-德才-⒁卑劣-造事,2,zhǐ huī ruò dìng,"Song Huang Tingjian's ""Luan Shanxi Gift to Hengyang Chen Xiang"": ""The eyebrows and dais converge on the autumn waves, and Hunan is full of beautiful mountains and rivers.""",Writing about people - virtues and talents - (14) despicable - making things,习近平总书记高瞻远瞩、指挥若定，以马克思主义政治家、思想家、战略家的雄才伟略和远见卓识，领导全党全军全国各族人民，亲自指挥部署这场人民战争；党中央成立应对疫情工作领导小组、中央指导组进驻武汉，科学指导，统筹调度，确保疫情防控沿着正确轨道稳步推进；各级党委坚决执行党中央决策部署，协同联动、组织有序、全力以赴，党员干部冲锋在前、无私奉献，推动疫情防控取得重大战略成果。
1610,一哄而起,1,culture,清·刘鄂《老残游记续编》第四回：“到这时候，我仿佛大彻大悟了不是？”,传说梁武帝时有个和尚讲经，感动了上天，天上纷纷落下花来。形容说话有声有色，极其动听（多指夸张而不符合实际）。,1,yī hōng ér qǐ,"The fourth chapter of Qing Liu E's ""Sequel to the Travels of the Old Can"": ""By this time, I seem to have fully realized it, right?""",Legend has it that a monk preached scriptures during the reign of Emperor Wu of Liang and moved the heavens so much that flowers fell from the sky. It is said that the monk spoke with sound and color and was extremely moving (mostly refers to exaggeration but not in accordance with reality).,但经营乐园并非游戏，光有“建个迪士尼”的冲动并不够。反观迪士尼，从1986年与中央电视台合作播放《米老鼠与唐老鸭》算起，到2016年上海迪士尼开园，30年积累起几代受众才建起主题公园，等待不可谓不久。这足以揭示经营之道：主题公园不是光靠平地起高楼，更不能凭一时冲动；即便内容过硬，也得考虑市场的真需求。如果不计辐射范围、游客流量、投入产出等因素一哄而起，一定导致经营困境，而其重资产的运营模式，往往绑上地方政府与银行，易引发地方债务、社会、金融等一系列风险。
