,Chengyu,Explanation
1637,海阔天空,Writing about the matter - state of affairs - (4) degree - serious
1638,前因后果,"Writing about events - state of affairs - (3) results - fair, poor"
1639,错综复杂,"Originally, it was used by Buddhism to describe a person without a single attachment. Later, it refers to a person's naked body."
1640,可乘之机,By: to obey. The body is not in charge of itself.
1641,色厉内荏,"The head is as big as a tiger, but the tail is as thin as a snake. It is a metaphor for the great momentum at the beginning, but the strength is very small later, with no end in sight."
1642,众星捧月,Writing things-opposites-(6) Difficult-easy-hard
1643,天涯海角,Writing - State of affairs - (5) Timing - Urgency
1644,付之东流,The reputation is very distinguished.
1645,付诸东流,Writing about people - virtues and talents - (1) noble - famous
1646,咄咄逼人,Writing about people - Virtue and talent - (20) Greed - Greed
1647,百年之后,Not Yang: not good-looking. Describe the person's appearance is ugly.
1648,和蔼可亲,Writing about people-looks-(1) Appearance-ugly
1649,千秋万代,"Frontier: A metaphor for sharpness or talent. Not to reveal one's sharpness or talent. Mostly refers to the intentional disguise of one's talents, ambitions, etc."
1650,因时制宜,Accomplish the good of others.
1651,熙来攘往,Thinking about a very subtle and unreal place. Describe completely detached from the reality of nonsense.
1652,昭然若揭,Writing about people - mind -_- (5) fantasy
1653,荒诞不经,It is a metaphor for doing things well and very smoothly.
1654,老骥伏枥,"When I lift my eyes, I can't see a single relative. It is a metaphor for being single and out of town."
1655,脱颖而出,It is not necessary to tell each other's thoughts to understand each other. Describe each other's thoughts and feelings are in complete agreement.
1656,雕梁画栋,Writing about people - virtue and talent - (13) talent - sophistication
1657,百万雄师,Shame: ashamed. Ask yourself if you think there is nothing to be ashamed of
1658,千军万马,Writing about people - feelings - (2) delighted - happy
1659,鱼米之乡,"There was no prior discussion, yet there was complete agreement in opinion or action."
1660,百年树人,Writing about things-opposites-(5) similarities and differences-similarities
1661,人声鼎沸,"Describe very dangerous, soon to fall down, or unstable, soon to collapse."
1662,轩然大波,Somewhat convinced and somewhat skeptical. Expresses uncertainty about what is true or false.
1663,昙花一现,Writing things-opposites-(4) right and wrong and others-right and others
1664,绵里藏针,"The original meaning is from birth to death. Later, it describes risking one's life and disregarding personal safety."
1665,好好先生,Describe spineless and lowly to please and flatter.
1666,人命关天,What is seen through a small hole. A metaphor for a narrow and one-sided opinion.
1667,枝繁叶茂,Look to the left and right. Describe the proud and complacent look of a person.
1668,风和日丽,Writing about people - feelings - (2) delighted - happy
1669,秋毫无犯,Writing - state of affairs - (1) behavior - appropriate
1670,搔首弄姿,"Writing about events - state of affairs - (3) results - fair, poor"
1671,曲意逢迎,Writing about people - Experiences - (3) Situations - Adversity
1672,苦不堪言,Writing about events - state of affairs - (2) change - for the better
1673,无声无息,Writing - Situation - (5) Military - Combat
1674,轻举妄动,The metaphor is to sympathize with each other for having the same encounter or suffering.
1675,发号施令,"To leave the darkness and cast oneself into the light. Metaphorically, to leave the reactionary camp politically and cast oneself to the progressive side."
1676,子虚乌有,Writing about people - Virtue and talent - (5) Modesty - Other
1677,明察暗访,"It describes the sloppy and careless work, either lost this, or forgot that."
1678,可歌可泣,Writing about people-acting-(2) style-sloppy
1679,齐头并进,Forcing someone to do something he can't or won't do.
1680,接连不断,Writing about people - virtues and talents - (22) timid - not determined
1681,成群结队,Follow a certain step and order. It also refers to doing things according to the old rules and lack of innovation.
1682,难舍难分,Writing about people-acting-(2) style-observance
1683,家喻户晓,"It refers to following others' footsteps. The metaphor is to follow and imitate others, without creativity."
1684,斗转星移,Writing - Situation - (6) Teaching - Imitation
1685,何去何从,"It means like a beast running away far away, like a bird flying away far away. The metaphor refers to a person running away to a faraway place. Mostly refers to getting out of a difficult situation to find a way out."
1686,反复无常,Writing about people - experience - (1) experience - change
1687,合而为一,To be able to bend and straighten. It refers to a person's ability to endure in times of disappointment and to do great things in times of success.
1688,一览无余,To die together or to perish together.
1689,铸成大错,"Writing things - state of affairs - (2) change - disappear, eliminate"
1690,不胜其烦,Writing about people - feelings - (8) love - intimacy
1691,崭露头角,Shen Tong: Originally a Buddhist term for miraculous magic. The magic techniques are vast and boundless. It describes a person who is highly competent and can do anything.
1692,不容置疑,"Writing things - state of affairs - (9) clutter, neatness - clutter"
1693,同日而语,"Originally, it means that a minister executed someone first and then reported it to the emperor. Now the metaphor is to do something without asking for permission, creating a fait accompli, and then report it to the superior."
1694,黯然失色,Writing matter - situation - (4) rule of law - public security and justice
1695,以强凌弱,Writing about people - feelings - (7) fear - fear
1696,急于求成,The description is extremely varied.
1697,言而有信,Escaped from an extremely dangerous situation and was spared from death.
1698,油然而生,"Writing things - state of affairs - (2) change - disappear, eliminate"
1699,从容就义,Writing things-opposites-(4) right and wrong and others-right and others
1700,一挥而就,It refers to the doctor's excellent medical skills.
1701,以礼相待,The metaphor is to use property economically so that there is no lack of use frequently. It also refers to doing something little by little without interruption.
1702,始终不渝,Writing about people - Virtue and talent - (26) Stupidity - Ignorance
1703,恻隐之心,"Writing things-opposites-(3) good and beautiful, ugly and evil-good and beautiful"
1704,不败之地,The sand is flying and the rocks are rolling. Describe the wind is fierce.
1705,家常便饭,Writing objects-The sky-_-rain and wind
1706,有生之年,Stopping as if their feet were entangled.
1707,一面之缘,Writing about people - mind -_- (7) hesitation
1708,自讨苦吃,It is not limited to one specification or one pattern.
1709,胸无点墨,It is a metaphor that the two sides in a fight are not equal in ability.
1710,言之有物,Writing about people - virtues and talents - (13) talents - capable
1711,天下为公,"To live off of each other. Generally refers to relying on each other, no one can leave anyone."
1712,一言难尽,Writing about people - feelings - (8) love - intimacy
1713,情同手足,Writing about people - virtue and talent - (18) hypocrisy - deception
1714,前无古人,It is a metaphor for a dream that cannot be realized at all.
1715,错落有致,Writing about people - mind -_- (5) fantasy
1716,自作聪明,Writing about people - Virtue and talent - (19) Arrogance - Others
1717,一文不值,"When weeding, we must get rid of the roots, so that the grass can no longer grow. The metaphor is to remove the root of the trouble to avoid future problems."
1718,积重难返,Cut the clothes according to the figure. The metaphor is to act according to the actual situation.
1719,鸡犬升天,The old term refers to the magic power of the immortals and Taoists. Now it refers to the great power of man over nature. It can also describe the rampant reactionary forces.
1720,腹心之疾,"Fine: perfect, good; YI: more. Good still seeks to be better."
1721,女娲补天,Writing - Situation - (5) Military - Combat
1722,风花雪月,"As fierce as thunder, as fast as the wind. It is a metaphor for executing policies and decrees severely and quickly. It also describes the fierce and rapid action."
1723,风刀霜剑,Writing about people - Acting - (2) Style - Other
1724,一倡百和,Writing about people - Virtue and talent - (14) despicable - nasty
1725,所作所为,Describe the self-reliance and hard work in the absence of a foundation and in very poor conditions.
1726,当家作主,The metaphor is beautiful and complete. It is mostly used to congratulate people on their new marriage.
1727,匪夷所思,Writing - Situation - (7) Culture and Art - Masterpiece
1728,冲昏头脑,"It is a metaphor for speaking or writing without directly pointing out from the front, but from the side to twist and turn to sarcasm or attack."
1729,听而不闻,"When: to bear, to bear; rushing: to rush, the main traffic road. The metaphor is to be the first to be attacked or to suffer a disaster."
1730,栉风沐雨,Describe the wonderful and vivid speech or performance.
1731,街谈巷议,Writing about people - Talking - (1) Talking - Listening
1732,排山倒海,The metaphor does not understand at all.
1733,古往今来,"The goods are not counterfeit and the price is real. Describe the real, not at all false."
1734,三十而立,The sight of it scares me.
1735,而立之年,Writing about people - feelings - (7) fear - fear
1736,罚不当罪,It means that you can't leave.
1737,民怨沸腾,"The original meaning is that when splitting bamboo, as soon as the first few sections break open, the following ones split open by themselves along with the knife. It is a metaphor for handling things and solving problems very smoothly."
1738,金科玉律,"There is no food and clothing, and it is hungry and cold. Describe the extreme poverty of life."
1739,文房四宝,Writing about people - experience - (3) situation - poverty
1740,天下第一,I was very happy because of the good thing that I didn't expect.
1741,地动山摇,"Originally, it refers to the practice of Buddhists to exclude material desires and keep their minds clean. Now it refers generally to not being influenced by bad habits or bad customs in any way. It is also used to describe being very clean and pure."
1742,大千世界,Writing about people - Acting - (3) Attitude - Belittling
1743,汪洋大海,Out of the ordinary. It also refers to an eccentric nature or speech or behavior.
1744,天方夜谭,Writing about people - feelings -_- (11) relentless
1745,万水千山,Writing about events - state of affairs - (4) degree - other
1746,岁寒松柏,It is a metaphor for reaching a very high level or degree at once. Sometimes it is also used to describe a person who suddenly gains ambition and climbs to a high position.
1747,街头巷尾,"One way: the same class; goods: goods. Metaphorically, the same type of ugly goods"
1748,比肩而立,"The smell: a metaphor for character and interest; cast: to fit in. It means that people have the same thinking and style, and they get along well with each other."
1749,具体而微,Writing about people-feeling-_-(6) perception
1750,刀耕火种,The expression of a person's joyful and relaxed face. Describes a kind and pleasant face.
1751,同仇敌忾,Writing about people - mind -_- (17) uneasy
1752,沉疴宿疾,Writing about events-situation-(1) the world's ways-decay
1753,礼义廉耻,It means deliberately making a gesture.
1754,顾名思义,Higher than average.
1755,振聋发聩,Writing about events - state of affairs - (7) sound and atmosphere - atmosphere
1756,镜花水月,"Originally, it refers to a feudal official beating a drum when retreating from the hall. Now it is a metaphor for retreating in the middle of doing something together with someone."
1757,花团锦簇,I've lost this and lost that. Describe a busy or panicky scene.
1758,投桃报李,"All aspects are taken care of without omission or negligence. It also means that although all aspects are taken care of, it is generalized."
1759,打击报复,Writing matter-situation-_-(2) Administration
1760,多谋善断,The disease is so serious that it cannot be cured by medicine. The metaphor is that the disease has reached a point where it cannot be saved.
1761,自怨自艾,Writing things-opposition-(7) safety and danger-danger
1762,繁文缛节,Writing about people - virtues and talents - (22) timid - timid
1763,畏缩不前,"The water of the Jing River is clear and the water of the Wei River is muddy. When the water of the Jing River flows into the Wei River, it is clear and turbid without mixing. The analogy is that the boundaries are clear or right and wrong are distinct."
1764,抚今追昔,"Writing about events - state of affairs - (4) degree - prominent, important, solid"
1765,生老病死,Ming: to point out; Deacon: to hold; Battle: weapon. Light a torch and hold a weapon. Describe open robbery or recklessly doing bad things
1766,分门别类,Writing events - state of affairs - (2) changes - changes appear
1767,财大气粗,Writing - Situation - (5) Military - Strategies
1768,乘胜追击,There are openings to exploit.
1769,粉饰太平,"Describe disorderly, disorganized, chaotic."
1770,为民请命,Describe the close relationship and deep friendship.
1771,百折不回,Writing about people - feeling -_- (1) eye
1772,星移斗转,We do not refuse anyone who comes to us with a request or anything that comes to us.
1773,口说无凭,It means to favor people to learn well. Now it means to help people with good intentions.
1774,有朝一日,"Metaphorically, it is a kind and patient persuasion."
1775,林林总总,Writing about people - Acting - (2) Style - Other
1776,寸步不让,Writing - Situation - (3) Economy - Management
1777,身体力行,"Writing about events - state of affairs - (4) degree - prominent, important, solid"
1778,苦心孤诣,Unfounded claims.
1779,推三阻四,Writing about people - speech - (6) delusions - empty words (nonsense)
1780,明辨是非,Writing about people - Virtue and talent - (15) mediocrity - mediocrity
1781,爱民如子,Writing about people - mind -_- (9) troubles
1782,面无人色,Writing about the matter - state of affairs - (4) degree - serious
1783,洋洋得意,Writing about people - experience - (3) situation - poverty
1784,梦寐以求,Writing things-opposition-(7) safety and security-an
1785,万里长征,Not bound by trivial things. Mostly refers to not paying attention to the small things in life.
1786,活灵活现,Writing things - Interaction -_- (1) Deep friendship
1787,春风化雨,"One hair on nine cows. It is a metaphor for a very tiny quantity in a very large quantity, insignificant."
1788,知彼知己,Describe the family's poor study hard.
1789,不亦乐乎,Writing about events - state of affairs - (2) change - for the better
1790,天理难容,Rewards are given according to the amount of merit.
1791,扬汤止沸,"Writing about events - state of affairs - (3) results - obvious, good"
1792,浑浑噩噩,Writing about people - virtues and talents - (2) ambition - having ambition
1793,仰首伸眉,Writing about events - state of affairs - (7) sound and atmosphere - atmosphere
1794,大街小巷,Writing about events-situation-(1) the world's ways-decay
1795,长风破浪,Writing about events-situation-(1) the world's ways-decay
1796,兼而有之,Writing about events - state of affairs - (6) association - comparison
1797,冷暖自知,The metaphor is to stop bad things and bad ideas when they are budding and not to let them develop.
1798,骨鲠在喉,Writing about events - state of affairs - (6) association - impact
1799,严刑峻法,"Writing about events - the state of affairs - (7) sound, atmosphere - sound"
1800,颠来倒去,A little place where the tip of the cone is inserted. Describe a very small piece of place. Also refers to a very small place to settle down.
1801,青山绿水,It is a description of two people coming together to talk in a low voice.
1802,觥筹交错,Writing about people - mind -_- (17) uneasy
1803,大兴土木,Writing - Situation - (6) Teaching - Imitation
1804,病从口入,Writing about people - feelings -_- (11) relentless
1805,见微知著,Writing - Situation - (5) Military - Combat
1806,废寝忘食,Writing about people - physical -_- (4) sickness and weakness
1807,哗众取宠,"It is a metaphor for using a good name as a front, but in reality it is not a good name or doing bad things"
1808,洪水猛兽,Regret: remorse afterwards. It's too late for remorse afterwards.
1809,食言而肥,Writing - Situation - (6) Teaching - Imitation
1810,排斥异己,Writing about people - experience - (1) experience - running around
1811,约定俗成,"In the old days, it was a metaphor for gratitude and repayment until death."
1812,风餐露宿,"Although you are in a safe environment, you still think of the possibility of danger. It means to be prepared for unexpected events at any time."
1813,茹毛饮血,Describe the ragged clothes. It is a metaphor for being unable to cope with the situation.
1814,互通有无,"Writing about events - state of affairs - (3) results - fair, poor"
1815,竹篮打水,Writing about people - Virtue and talent - (24) Luxury - Luxury
1816,见仁见智,Writing about people - Virtue and talent - (2) Ambition - Promising
1817,真知灼见,Writing objects - time - _ - long
1818,口诛笔伐,The metaphor is that the direction or approach is not right and it is impossible to achieve the goal.
1819,讳疾忌医,Writing - state of affairs - (1) act - misconduct
1820,难能可贵,It is a metaphor for not understanding that things have developed and changed while still looking at things in a static manner.
1821,接踵而来,Writing about people - Acting - (1) Method - Stereotype
1822,拉帮结派,"Three people falsely reported that there were tigers in the city, and those who listened to them believed the truth. The metaphor is that when more people say it, they can make people take the rumor as the truth."
1823,避难就易,The life that survived the tiger's mouth. The metaphor is to escape from an extremely dangerous situation and survive.
1824,欲罢不能,The building by the water gets the moonlight first. The metaphor is to get some benefit or convenience before others because of being close to some person or thing.
1825,千呼万唤,Writing - state of affairs - (1) act - misconduct
1826,建功立业,Writing - Situation - (7) Culture and Art - Masterpiece
1827,字里行间,To throw out bricks to draw back jade. The metaphor is to use one's own immature opinion or work to draw out someone else's better opinion or good work.
1828,始作俑者,Writing about people - mind -_- (6) Worry
1829,亘古未有,urn: a kind of pottery receptacle. It is a metaphor for using someone's way of fixing others to fix himself.
1830,风尘仆仆,Writing matter - situation - (4) rule of law - public security and justice
1831,罪孽深重,Writing objects-objects-_- metaphorical objects
1832,天马行空,Writing events - state of affairs - (2) changes - changes appear
1833,耳濡目染,Writing events - state of affairs - (6) correlation - fit
1834,循循善诱,Writing about the event - the state of affairs - (3) the result - falls short
1835,动辄得咎,"Absolutely correct, a truth that cannot be changed. It also refers to what is taken for granted."
1836,从一而终,Writing things-opposites-(4) right and wrong and others-right and others
1837,清风明月,Like a small white horse running in front of a small gap. Describe the time passing extremely fast.
1838,鼻青脸肿,Writing - state of affairs - (1) act - misconduct
1839,茶余饭后,The fox felt sad when the rabbit died. The metaphor is to feel sad because of the death of the same kind.
1840,恍如隔世,Writing about events - state of affairs - (6) association - impact
1841,失道寡助,Writing about the matter - state of affairs - (4) degree - serious
1842,攻无不克,"Riding on the back of a tiger and not being able to get down. The metaphor is that it is difficult to carry on doing something, but the situation does not allow to stop in the middle, stuck in a dilemma."
1843,屡次三番,Reason - Cause and Effect
1844,风卷残云,Writing about people - Virtue and talent - (6) Integrity and honesty
1845,星星之火,"The metaphor is to consider a problem from the subjective desire, only from the good side of the plan."
1846,当头棒喝,Writing about people - Virtue and talent - (26) Stupidity - Stupidity
1847,必争之地,A piece of wood cannot support a tall house. The metaphor is that one person's strength is too thin to maintain the whole situation.
1848,异军突起,"Describe a big dream, or a metaphor for an empty joy."
1849,火烧眉毛,Writing about people-acting-(2) style-sloppy
1850,花甲之年,Writing about people - Virtue and talent - (26) Stupidity - Incompetence
1851,中西合璧,To pass off a fish eye as a pearl. The metaphor is to use a fake one to pass off as the real one.
1852,焚膏继晷,A metaphor for bad people in power.
1853,落地生根,Writing about events-situation-(1) the world's ways-decay
1854,败兴而归,A fish swimming in the pot. A metaphor for a person in a desperate situation. It is also a metaphor for something that is about to perish.
1855,知足常乐,Writing about events - state of affairs - (7) sound and atmosphere - atmosphere
1856,卖国求荣,It is a metaphor for a wish that cannot be fulfilled and comforting oneself with empty thoughts.
1857,发奋图强,Writing - Situation - (5) Military - Strategies
1858,正襟危坐,Put the tiger back into the mountain. The metaphor is to put the bad guys back to their lair and leave the root of the trouble.
1859,至死不渝,Writing - state of affairs - (1) act - misconduct
1860,至死不变,Describe the appearance of obesity.
1861,养儿防老,Writing - Situation - (5) Military - Preparation for war
1862,承前启后,Splitting clumps of thorny wild plants. The metaphor is to remove obstacles and overcome difficulties in the process of starting a business or on the way forward.
1863,按捺不住,Not feeling bored by something because of the love of doing it. It describes a person who is particularly fond of something and is immersed in it.
1864,鞠躬尽瘁,"When serving food, the tray is as high as the eyebrows. Later, it describes a couple respecting each other."
1865,严于律己,"Originally, the lower end of the sugar cane was sweeter than the upper end, and the more you eat, the sweeter it gets from top to bottom. Later, it refers to the gradual improvement of the situation or the gradual intensification of interest."
1866,流芳千古,Writing about people - virtues and talents - (22) timid - timid
1867,精美绝伦,Describe the prudent and diligent work.
1868,精妙绝伦,Writing about people - Virtue and talent - (7) Diligence - Others
1869,坚忍不拔,Later emerged or newly grown outstanding people.
1870,酣畅淋漓,Writing things-opposition-(10) success or failure-failure
1871,灰飞烟灭,"Writing about events - state of affairs - (4) degree - prominent, important, solid"
1872,政通人和,A metaphor for a woman who is not doing her job.
1873,一张一弛,It is a metaphor for moving forward without stopping.
1874,一波三折,The hair is long and disheveled. Describe the untidy appearance.
1875,千难万险,Writing things-opposites-(1) how much-more
1876,碧血丹心,The face is kind and joyful. Describe the kindness and friendliness.
1877,狂妄自大,Writing about people - speech - (6) delusion - nonsense
1878,弊绝风清,"Writing about events - state of affairs - (3) results - opposite, inconsistent"
1879,国富民强,Writing about people-body-_-(2) robust
1880,尽心竭力,Hear it with your own ears and see it with your own eyes.
1881,追本溯源,The tree has been made into a boat. The metaphor is that things have been set in stone and cannot be changed.
1882,坎坷不平,"Writing about events - state of affairs - (3) results - obvious, good"
1883,因循苟且,Everyone knows
1884,救亡图存,Writing - State of affairs - (4) Degree - completely
1885,南征北战,"The original seal was left untouched. The metaphor is exactly as it was, without any change."
1886,国破家亡,There are many changes that cannot be predicted.
1887,吉祥如意,Writing events - state of affairs - (2) changes - changes appear
1888,东奔西走,Never before.
1889,价廉物美,It means that the sin is great and unforgivable.
1890,屏气凝神,"Writing about events - state of affairs - (4) degree - prominent, important, solid"
1891,千姿百态,The length and height are uneven.
1892,贪赃枉法,Writing-Interaction-_-(4) Activities
1893,黯淡无光,Writing about people - speech - (6) delusion - nonsense
1894,缺吃少穿,To use one's own thoughts to think about the thoughts of others. It means to put oneself in the shoes of others.
1895,璀璨夺目,"Wipe off: wipe off, write off. The metaphor is to rashly dismiss all achievements and merits"
1896,骁勇善战,Handy. Mostly refers to the ability to choose words or apply allusions freely and purely without much thought when writing an essay.
1897,敢作敢为,Writing things-opposites-(6) difficult-easy
1898,志得意满,"It means that there are not only one but many things of the same kind, and it is impossible to enumerate them all."
1899,有勇有谋,"Writing things - state of affairs - (9) clutter, neat - neat"
1900,灿烂辉煌,Good at recognizing the character and talents of people and using them most wisely.
1901,感天动地,"From start to finish, all of it, full meaning."
1902,领异标新,Writing - State of affairs - (4) Degree - completely
1903,轻车简从,Writing things-opposites-(1) how much-more
1904,聪明才智,"When things go to the extreme, they will transform in the opposite direction."
1905,安邦治国,Writing about people - Talking - (4) Arguing - Justified
1906,循环往复,"Each according to their own ideas, do not cooperate with each other. The metaphor is that each one does not consider the whole picture, and each one does one thing."
1907,含辛茹苦,Writing about people - Virtue and talent - (25) collusion - division
1908,不疾不徐,The future is still long. It means that things are possible or there are still opportunities in the future.
1909,不矜不伐,Writing objects - time - _ - long
1910,浩浩荡荡,"Words: speech, literary words; 達: expression; 意: meaning. Words and phrases cannot fully and precisely express thoughts and feelings"
1911,龙争虎斗,"The parties involved were confused by the problems they encountered, but the people watching next to them saw it clearly."
1912,漫山遍野,Reason - Awareness
1913,精疲力竭,It originally refers to the trend and direction of a mountain range. Now it is a metaphor for the cause and effect of an event.
1914,绿水青山,Writing objects - Geography - _ - Places
1915,艰难险阻,Writing - Situation - (5) Military - Combat
1916,民富国强,Enter while weak and sparse.
1917,豁达大度,Means beyond the crowd.
1918,公正无私,"Writing about the matter - state of affairs - (4) degree - slight, never mind"
1919,千叮万嘱,The wind and clouds are so unpredictable. The metaphor is that the current situation is changing rapidly and the movement is unpredictable.
1920,侠肝义胆,"Just right: just right. Stop when you get to the right level, don't overdo it."
1921,举手投足,There is no bad thing that you don't do. It means to do all the bad things.
1922,千山万壑,"Do something stupid and bad yourself, your own bad luck."
1923,七情六欲,The heat is grand. A metaphor for high emotions and a warm atmosphere
1924,奇谈怪论,"Metaphorically speaking, there are displaced victims everywhere"
1925,生死存亡,"Originally, it means that the guest and the host meet on two sides of the court and salute each other. Now it refers to the relationship of sitting on equal footing and reciprocating each other."
1926,三山五岳,A ploy to delay the opponent's attack. Refers to stalling for time and then figuring out what to do.
1927,志士仁人,Writing about people - Virtue and talent - (14) despicable - trapping
1928,至亲好友,Like the stars in the sky and the chess pieces on the chessboard are distributed. Describe the large number and wide distribution.
1929,不进则退,Writing things-opposites-(9) true-false-false
1930,千载一时,It is a metaphor for a person's joyful and relaxed expression. Describes a pleasant and pleasant face.
1931,俯拾即是,Writing about people - virtues and talents - (22) timid - timid
1932,俯拾皆是,"If you just sit and eat, the mountain will be empty. It means that if you consume without producing, even if you have a mountain of wealth, it will be exhausted."
1933,奉为圭臬,Celebrate merit and virtue.
1934,不远千里,Writing about people - Acting - (1) Methods - Other
1935,不以为耻,"Originally, it refers to a kind of song popular in the folk of Chu during the Warring States period. It is a metaphor for popular literature and art."
1936,互为表里,Throw: expose. To reveal the head and face. Originally refers to the appearance of women in large crowds. Now it means to show one's face publicly.
1937,矢志不渝,It is a metaphor for an improvised and disorganized group of people.
1938,矢志不移,"Writing about events, situations, (5) military, military discipline, etc."
1939,甘居人后,It inspires deep thinking and awakening.
1940,坐收渔利,"Writing about events - state of affairs - (3) results - obvious, good"
1941,浪迹天涯,It is a description of old age and infirmity.
1942,目无法纪,Harming others for your own benefit.
1943,有所作为,Several horses laced side by side are running fast together. The metaphor is that the strength or talent of each other is not divided.
1944,勇冠三军,Writing - Situation - (5) Military - Combat
1945,转祸为福,The metaphor is to return the original intact to the person.
1946,一扫而光,Writing about people - mind -_- (17) uneasy
1947,潸然泪下,Writing about events - state of affairs - (2) change - for the better
1948,不可偏废,Change the bad and wrong ones to the good and right ones
1949,岿然不动,It is a metaphor for an enemy preparing to attack or a bad guy plotting to mess up.
1950,暮气沉沉,Writing about people - Virtue and talent - (5) Modesty - Other
1951,惘然若失,It's a waste of effort.
1952,金玉满堂,Writing about people-Mindfulness-_-(1) Thinking
1953,漫天要价,Writing things-opposites-(6) difficult-easy
1954,旖旎风光,"To keep oneself pure and not to be in the same stream. It also refers to the fear of attracting right and wrong, caring only for one's own good and not caring about public affairs."
1955,慷慨就义,Writing about people - Virtue and talent - (6) Integrity and cleanliness
1956,急如星火,"Qun: everyone, collectively; Ce: scheme, idea. Refers to the role of the collective, we all come together to think of ways to contribute."
1957,坚不可摧,Writing about people - Virtue and talent - (6) Integrity and honesty
1958,叫苦不迭,Writing about events-situation-(1) the world's ways-decay
1959,瞬息万变,Writing about people - Acting - (3) Attitude - Cold talk
1960,俯仰无愧,It means there is no place that is not reached. It also means to do everything badly.
1961,当断不断,The meager heart of the grass cannot repay the deep love of the spring sun. The metaphor is that it is difficult to repay the kindness of parents.
1962,连绵不断,Writing about people - Address - (3) Identity occupation - Literati
1963,蜂拥而上,Writing about people - Acting - (2) Style - Casual
1964,恶意中伤,Describe a long period of time.
1965,以身许国,"Refers to the mutual understanding after the encounter, can better befriend and get along"
1966,以柔克刚,The description is that the words and actions are well organized.
1967,疲惫不堪,"Writing things - state of affairs - (9) clutter, neat - neat"
1968,绵绵不绝,"Writing about events - state of affairs - (8) fame - good, great"
1969,怡然自得,Head spinning. Describes a person who is bored by the busyness or the fact that things are clueless
1970,相濡以沫,Writing things-opposites-(8) blessings and woes-woes
1971,一门心思,"Writing things - state of affairs - (9) clutter, neatness - clutter"
1972,秋毫之末,indicates that it is not worth mentioning.
1973,一席之地,Nothing is taboo.
1974,一家之言,Writing - State of affairs - (4) Degree - completely
1975,门户之见,Describe the dizziness of the mind.
1976,栋梁之材,No one picks up the lost things of others on the road. Describe the good social climate.
1977,方便之门,Writing about things-situations-(1) worldly ways-stability
1978,一寸丹心,Writing about events-situation-(1) the world's ways-decay
1979,失之东隅,"Chanting: chanting continuously; having words: having words like a song. Old refers to monks reciting scriptures, now refers to whispering to oneself or talking in a vague manner"
1980,深信不疑,The mountains collapsed and the earth split open. Describe the loud sound or violent change.
1981,他山之石,"Writing about events - the state of affairs - (7) sound, atmosphere - sound"
1982,谆谆教导,"The metaphor is that no one comes to inquire, try or buy."
1983,不正之风,Writing - state of affairs - (1) act - misconduct
1984,丹青妙手,Various feelings are intertwined. It describes a lot of feelings and complex emotions.
1985,神来之笔,"Happy at one time, angry at another. Describe the changeable attitude."
1986,锦绣山河,Refers to an unintentional encounter.
1987,公平交易,Writing - State of affairs - (5) Timing - Appropriate
1988,一片丹心,means no descendants
1989,才德兼备,"expediency: temporarily appropriate, adaptable; plan: plan, approach. It refers to a temporary solution to cope with a certain situation."
1990,步履维艰,Writing about people - virtues and talents - (13) talents and wisdom
1991,相差无几,Resignation: to put off. Toil: To toil and toil. Not avoiding toil and hardship. Describe people who are not afraid of hardship and perseverance.
1992,沧海横流,Writing about people - Virtue and talent - (8) Bravery - Others
1993,机关算尽,"The original description is casual and unpretentious. Later, it describes the lack of attention to the neatness of clothing or appearance."
1994,心如铁石,Writing about people - Acting - (2) Style - Casual
1995,学富五车,A sneer through the nose. Express contempt.
1996,志在四方,A metaphor for brotherhood and love.
1997,感慨系之,Tall and treacherous mountain ranges.
1998,甘之如饴,Writing about people-acting-(2) style-observance
1999,字字珠玑,Describes a large number of people and a variety of mouths.
2000,同声相应,Writing about events - state of affairs - (7) sound and atmosphere - atmosphere
2001,举重若轻,The inner joy is shown on the face. Describe the inhibition of inner joy.
2002,教学相长,Writing about people-looks-(2) demeanor-smile
2003,三足鼎立,The time is wasted. Refers to the waste of time.
2004,寸土不让,The metaphor is that each side gets half and half.
2005,刀枪入库,Think of or exhaust all means.
2006,品学兼优,A good reputation lives on forever.
2007,炮火连天,"It means to know things very well, like putting something in the palm of one's hand and showing it to others."
2008,百废待兴,But that's all. It has the meaning of belittling people.
2009,面目可憎,I am happy to see it as soon as possible.
2010,关怀备至,Describe the feeling of togetherness and becoming one.
2011,天下无敌,Pursue the root cause. It generally refers to pursuing the original cause of a matter.
2012,新婚燕尔,Describes a person with a charitable heart.
2013,惺惺相惜,"Exhaustion: exhaustion, completion. Take incomplete, inexhaustible. Describe very abundant."
2014,气象万千,Writing things-opposites-(1) how much-more
2015,声势浩大,Exceptionally strong and indestructible. It is also used to refer to people who are stubborn or conservative in their old habits.
2016,交口称赞,"Empty, without much content. Mostly refers to extremely vague speech and writing."
2017,是非分明,Three or two together. Describe the small number of people.
2018,安不忘危,Writing things-opposition-(1) more or less-less
2019,民生凋敝,Describe the vertical and horizontal clutter.
2020,目光炯炯,"Writing things - state of affairs - (9) clutter, neatness - clutter"
2021,人心惶惶,"Can't go up, can't come down. Describe the dilemma of getting in and out."
2022,忧心如焚,Writing about people - Experiences - (3) Situations - Adversity
2023,信誓旦旦,Describe the humble and submissive way of speaking and attitude.
2024,心无旁骛,"One hand covers the sky. It is a description of relying on power, playing tricks and hoodwinking the masses."
2025,力所不及,"You know you can't do it, but you deliberately violate it."
